year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets,company
FY20,375,83751,8174,27827,120127,20928,906,26356,71937,120127,Tata_Motors
FY21,370,86063,7795,35764,129992,21021,926,29373,78672,129992,Tata_Motors
FY22,366,88773,7818,43967,140924,21298,1205,30485,87936,140924,Tata_Motors
FY23,366,90058,7688,44747,142859,20515,1234,37163,83947,142859,Tata_Motors
FY24,362,90127,8021,46962,145472,19604,1564,31762,92542,145472,Tata_Motors
