year,sales,expenses,operating_profit,opm,other_income,interest,depreciation,profit_before_tax,tax,net_profit,eps_in_rs,dividend_payout,revenue_growth_,net_profit_margin_,company,revenue_growth_%,net_profit_margin_%
FY20,156949.0,114840.0,42109.0,,4592.0,924.0,3529.0,42248.0,,32447.0,86.19,,,20.673594607165384,Tata_Motors,,20.673594607165384
FY21,164177.0,117631.0,46546.0,,1916.0,637.0,4065.0,43760.0,,32562.0,87.67,,4.605317650956686,19.833472410873632,Tata_Motors,4.605317650956686,19.833472410873632
FY22,191754.0,138697.0,53057.0,,4018.0,784.0,4604.0,51687.0,,38449.0,104.75,,16.79711530847805,20.051211448001087,Tata_Motors,16.79711530847805,20.051211448001087
FY23,225458.0,166199.0,59259.0,,3449.0,779.0,5022.0,56907.0,,42303.0,115.19,,17.576686796624852,18.763139919630266,Tata_Motors,17.576686796624852,18.763139919630266
FY24,240893.0,176597.0,64296.0,,3464.0,778.0,4985.0,61997.0,,46099.0,126.88,,6.846064455463985,19.136712150207767,Tata_Motors,6.846064455463985,19.136712150207767
